subject_area,subj_code,title,number,section_ids
English,ENGL,"19th-Century Critical Prose: Women's Writing about Politics, Society, and Art in 19th-Century Britain",164B,{5883301}
English,ENGL,19th-Century Novel: Aestheticism and 19th-Century Novel,164C,{1975}
Law,LAW,1st Amendment Amicus Brief Clinic,724,{5885471}
French,FRNCH,20th Century,220,{5879565}
History,HIST,20th-Century China,170D,{5879473}
Chicana and Chicano Studies,CHICANO,20th Century El Salvador: Lucha for Egalitarian Society,88S,{10589252}
German,GERMAN,20th-Century German Philosophy,116,{4165}
Russian,RUSSN,"20th-Century Russian Literature, 1930 to 1989",213B,{3027}
Law,LAW,"8th Amendment, Cruel & Unusual Punishment",668,{5882256}
Psychology,PSYCH,Abnormal Psychology,127A,"{2769,5888433}"
Psychology,PSYCH,Abnormal Psychology: Developmental Perspectives,127C,{5881856}
English Composition,ENGCOMP,Academic Professionalization Colloquium,499,"{5886882,5886848}"
Electrical and Computer Engineering,EC ENGR,Academic Technical Writing for Electrical Engineers,295,{3389}
Iranian,IRANIAN,Accelerated Elementary Persian,20B,"{1819,2156}"
Iranian,IRANIAN,Accelerated Elementary Persian,20C,{5881734}
Law,LAW,Accounting and Financial Skills for Lawyers,434,{5882057}
Management-PhD,MGMTPHD,Accounting Workshop,202B,{338}
Management-PhD,MGMTPHD,Accounting Workshop,202C,{5884434}
University Studies,UNIV ST,ACE UCLA | Critical Strategies to Achieve Undergraduate Excellence for First-Generation Students,10E,"{5881061,5881083,5881127}"
University Studies,UNIV ST,ACE UCLA | Critical Strategies to Achieve Undergraduate Excellence for Incoming Freshmen,10A,"{4003,3943}"
University Studies,UNIV ST,ACE UCLA | Critical Strategies to Achieve Undergraduate Excellence for Incoming Transfers,10D,"{3231,1351,5883113,5883014,5883033,1639,1136}"
University Studies,UNIV ST,ACE UCLA | Critical Strategies to Achieve Undergraduate Excellence for Life Science Students,10C,"{1684,1683}"
Physics,PHYSICS,Acoustics Laboratory,180D,"{5175,5885238}"
Theater,THEATER,Acting and Performance in Film,120B,{4321}
Theater,THEATER,Acting and Performance in Film,120C,{5887418}
Theater,THEATER,Acting Classical Texts,126B,"{5881244,3539}"
Theater,THEATER,Acting for Microphone,124D,"{4941,4382}"
Theater,THEATER,Acting Fundamentals,20,"{5886146,5886224,1906,5886067,5885973,230,2624,2516,5886202,2015,793,5886212,5886099,5886007}"
Theater,THEATER,Acting Shakespeare,126A,{4598}
Theater,THEATER,Acting Workshop,121,{4840}
World Arts and Cultures,WL ARTS,Active Passivity: Self-Awareness for Social Change,19,{1929}
Chicana and Chicano Studies,CHICANO,Activist Scholarship and Intersectional Methodologies Seminar,201,{10588807}
Film and Television,FILM TV,Adaptation for Screen,437,{4042}
Law,LAW,Administrative Law,216,{5882250}
Psychology,PSYCH,Adolescent Development,133A,{2124}
Nursing,NURSING,Adult/Gerontology Acute Advanced Assessment and Clinical Diagnosis II,444,"{4397,3704,5067,3644}"
Nursing,NURSING,Adult/Gerontology Acute Care Nurse Practitioner Practicum I,416A,"{4857,3398,4507,5002,4667}"
Nursing,NURSING,Adult/Gerontology Acute Care Nurse Practitioner Practicum IV,416D,"{2872,756,1318,3362,3144}"
Nursing,NURSING,Adult/Gerontology Concepts for Advanced Practice Registered Nurses in Acute Care I,216A,{1328}
Nursing,NURSING,Adult/Gerontology Concepts for Advanced Practice Registered Nurses in Acute Care II,216B,{5885242}
Nursing,NURSING,Adult/Gerontology Primary Care Nurse Practitioner Practicum I,439A,"{3551,3593}"
Nursing,NURSING,Adult/Gerontology Primary Care Nurse Practitioner Practicum II,439B,"{5879685,5879726}"
Nursing,NURSING,Adult/Gerontology Primary Care Nurse Practitioner Practicum IV,439D,"{1548,1662}"
Nursing,NURSING,Adult/Gerontology Primary Care Nurse Practitioner Practicum V,439E,"{5882911,5882888}"
Nursing,NURSING,Adult/Gerontology Primary Healthcare for Advanced Practice Registered Nurses I,239A,{2446}
Nursing,NURSING,Adult/Gerontology Primary Healthcare for Advanced Practice Registered Nurses II,239B,{5883343}
Management,MGMT,Advanced Accounting,124,{5881137}
Theater,THEATER,Advanced Acting and Craft for Actor,421C,{5392}
Theater,THEATER,Advanced Acting: Classical and Historical Drama,421B,{5880328}
Theater,THEATER,Advanced Acting for Camera: Studio 1  ,420C,{4676}
Film and Television,FILM TV,Advanced Animation Workshop,482A,{4611}
Film and Television,FILM TV,Advanced Animation Workshop: Studio 1  ,482B,{4562}
Arabic,ARABIC,Advanced Arabic,103B,{1397}
Arabic,ARABIC,Advanced Arabic,103C,{5888307}
Physics,PHYSICS,Advanced Atomic Structure,213A,{3263}
Dance,DANCE,Advanced Ballet: Studio 1  ,C113A,{3270}
Civil and Environmental Engineering,C&EE,Advanced Biological Processes for Water and Wastewater Treatment,261B,{5878867}
Biomathematics,BIOMATH,Advanced Biostatistics,266B,{5882692}
Art,ART,Advanced Ceramics,148,"{2046,5879745,5879715}"
Chemical Engineering,CH ENGR,Advanced Chemical Reaction Engineering,210,{1104}
Chinese,CHIN,Advanced Chinese for International Business,102B,{1364}
Chinese,CHIN,Advanced Chinese Rhetoric and Critical Thinking,105B,{5882573}
Dance,DANCE,Advanced Choreography,211B,{2757}
Dance,DANCE,Advanced Choreography,211C,{5885259}
Psychology,PSYCH,Advanced Clinical Assessment,277A,{5431}
Psychology,PSYCH,Advanced Clinical Assessment,277B,{5888440}
Portuguese,PORTGSE,Advanced Composition and Style,27,{5880524}
Music,MUSC,Advanced Composition Studio,166,"{4574,5450,4096,4049,5881415,5881368}"
Film and Television,FILM TV,Advanced Computer Animation,483B,{5119}
Computer Science,COM SCI,Advanced Computer Architecture,251A,{4880}
Theater,THEATER,Advanced Computer-Assisted Drafting,C156E,{103824}
Theater,THEATER,Advanced Computer-Assisted Drafting,C456E,{103877}
Computer Science,COM SCI,Advanced Computer Networks,218,{5884046}
"Earth, Planetary, and Space Sciences",EPS SCI,Advanced Computing in Geosciences,171,{1691}
Theater,THEATER,"Advanced Conditioning and Combat for Theater, Film, and Television",425E,{4479}
Law,LAW,Advanced Corporation Law,231,{5886108}
Law,LAW,Advanced Criminal Procedure: Adjudicative Criminal Procedure: Bail to Jail,295,{5882838}
Law,LAW,Advanced Critical Race Theory,653,{5887183}
Civil and Environmental Engineering,C&EE,Advanced Cyclic and Monotonic Soil Behavior,224,{5887974}
Computer Science,COM SCI,Advanced Data Mining,247,{5885587}
Mechanical and Aerospace Engineering,MECH&AE,Advanced Digital Control for Mechatronic Systems,277,{5408}
Electrical and Computer Engineering,EC ENGR,Advanced Digital Integrated Circuits,215B,{4825}
Film and Television,FILM TV,Advanced Direction of Actors for Film and Television,423B,{4836}
Film and Television,FILM TV,Advanced Documentary Workshop,C186B,{3049}
Film and Television,FILM TV,Advanced Documentary Workshop,C403B,{1055}
Art,ART,Advanced Drawing,130,"{1660,5887676}"
Atmospheric and Oceanic Sciences,A&O SCI,Advanced Dynamic and Synoptic Meteorology,C110,{4071}
Atmospheric and Oceanic Sciences,A&O SCI,Advanced Dynamic and Synoptic Meteorology,C227,{3092}
Mechanical and Aerospace Engineering,MECH&AE,Advanced Dynamics,255A,{5884960}
Economics,ECON,Advanced Econometrics,143,{5880226}
Economics,ECON,Advanced Econometrics II,231B,{1946}
Economics,ECON,Advanced Econometrics III,231C,{5888272}
Health Policy and Management,HLT POL,Advanced Evaluation Theory and Methods for Health Services,423,{5883851}
Physiological Science,PHYSCI,Advanced Experimental Statistics,200,{1112}
French,FRNCH,Advanced Expository Writing: Techniques of Argumentation,101,"{5878708,2700}"
Geography,GEOG,Advanced Field and Laboratory Methods in Biophysical Geography,215,{5882531}
Psychology,PSYCH,Advanced Fieldwork in Applied Developmental Psychology,134E,{586}
Film and Television,FILM TV,Advanced Film Editing,C154B,{1558}
Film and Television,FILM TV,Advanced Film Editing,C454B,{3264}
Civil and Environmental Engineering,C&EE,Advanced Foundation Engineering,221,{4290}
Geography,GEOG,Advanced Geographic Information Systems,170,"{514,5878741}"
Urban Planning,URBN PL,Advanced Geographic Information Systems,206B,{10585912}
Civil and Environmental Engineering,C&EE,Advanced Geotechnical Design,123,{5883683}
Greek,GREEK,Advanced Greek Prose Composition,210,{5887540}
Dance,DANCE,Advanced Hip-Hop Dance: Studio 1  ,C109A,{2609}
Theater,THEATER,Advanced Historical Costume Interpretation and Construction,457D,{4250}
American Indian Studies,AM IND,Advanced Historiography: American Indian Peoples,M200A,{10587453}
History,HIST,Advanced Historiography: American Indian Peoples: Seminar 1  ,M200W,{5884996}
History,HIST,Advanced Historiography: Latin America,200I,{5880746}
History,HIST,Advanced Historiography: Near East: Historiography of Modern Middle East,200J,{498}
History,HIST,Advanced Historiography: Near East: Islamic Historiography,200J,{2615}
Electrical and Computer Engineering,EC ENGR,Advanced Honors Seminars: Advanced Honors Seminar for Electrical and Computer Engineering 101A,189,{3469}
History,HIST,Advanced Honors Seminars: Advanced Honors Seminar for History 129A,189,{5886379}
History,HIST,Advanced Honors Seminars: Advanced Honors Seminar for History 139B,189,{2257508}
Psychology,PSYCH,Advanced Honors Seminars: Advanced Honors Seminar for Psychology 133A,189,{3714}
Psychology,PSYCH,Advanced Honors Seminars: Advanced Honors Seminar for Psychology 152,189,{3982}
Sociology,SOCIOL,Advanced Honors Seminars: Advanced Honors Seminar for Sociology 102,189,"{10580756,10580723,10580762}"
Sociology,SOCIOL,Advanced Honors Seminars: Advanced Honors Seminar for Sociology 151,189,{3735}
Chicana and Chicano Studies,CHICANO,Advanced Honors Seminars: Seminar 1  ,189,{5883208}
Communication,COMM,Advanced Honors Seminars: Seminar 1  ,189,{1876}
Economics,ECON,Advanced Honors Seminars: Seminar 1  ,189,{2393195}
Electrical and Computer Engineering,EC ENGR,Advanced Honors Seminars: Seminar 1  ,189,{5882928}
Sociology,SOCIOL,Advanced Honors Seminars: Seminar 1  ,189,{10578860}
"Microbiology, Immunology, and Molecular Genetics",MIMG,Advanced Immunology and Applications,C185B,{5882527}
"Microbiology, Immunology, and Molecular Genetics",MIMG,Advanced Immunology and Applications,C285B,{5887100}
Dance,DANCE,Advanced Improvisation in Dance: Studio 1  ,116,"{1499,5886195}"
Indonesian,INDO,Advanced Indonesian,100B,{1794}
Chemistry and Biochemistry,CHEM,Advanced Inorganic Chemistry,172,{5882018}
Music,MUSC,Advanced Instrumental Studio: Bassoon,160C,{438}
Music,MUSC,Advanced Instrumental Studio: Cello,160M,{1873}
Music,MUSC,Advanced Instrumental Studio: Clarinet,160D,"{5882033,254,997,5881988}"
Music,MUSC,Advanced Instrumental Studio: Flute,160A,{2050}
Music,MUSC,Advanced Instrumental Studio: French Horn,160F,{4828}
Music,MUSC,Advanced Instrumental Studio: Guitar,160P,"{5886433,136}"
Music,MUSC,Advanced Instrumental Studio: Harp,160O,{528}
Music,MUSC,Advanced Instrumental Studio: Oboe,160B,"{5885348,824}"
Music,MUSC,Advanced Instrumental Studio: Percussion,160J,"{5081,5136,5881989,5882013}"
Music,MUSC,Advanced Instrumental Studio: Piano,160S,"{3133,5886494,5886457,420}"
Music,MUSC,Advanced Instrumental Studio: Saxophone,160E,{205}
Music,MUSC,Advanced Instrumental Studio: String Bass,160N,"{5887491,2693}"
Music,MUSC,Advanced Instrumental Studio: Trombone,160H,"{5886466,3602}"
Music,MUSC,Advanced Instrumental Studio: Trumpet,160G,"{5887518,5440}"
Music,MUSC,Advanced Instrumental Studio: Tuba/Euphonium,160I,{4373}
Music,MUSC,Advanced Instrumental Studio: Viola,160L,"{5887502,5301}"
Music,MUSC,Advanced Instrumental Studio: Violin,160K,"{3470,4528,4979,3667,5886513}"
Education,EDUC,Advanced Item Response Theory,211C,{5203}
Law,LAW,Advanced Judicial Process,850A,{5886107}
Law,LAW,Advanced Judicial Process,850B,{5881925}
Korean,KOREA,Advanced Korean Conversation,102B,{3009}
Nursing,NURSING,Advanced Leadership and Role Integration,168,{2880}
Law,LAW,Advanced Legal Research,397,{5887577}
Law,LAW,Advanced Legal Research Intensive,945,{5880377}
Management,MGMT,Advanced Management Communication,425,{5879813}
Chemical Engineering,CH ENGR,Advanced Mass Transfer,220,{546}
Chinese,CHIN,Advanced Modern Chinese,100B,{2416}
Chinese,CHIN,Advanced Modern Chinese,100C,{5878746}
Japanese,JAPAN,Advanced Modern Japanese,100B,{3235}
Japanese,JAPAN,Advanced Modern Japanese,100C,"{5881093,5881075}"
Korean,KOREA,Advanced Modern Korean,100B,{68}
Korean,KOREA,Advanced Modern Korean,100C,{5887822}
Dance,DANCE,Advanced Modern/Postmodern Dance,C115,{494}
Theater,THEATER,Advanced Movement I,425B,{4309}
Theater,THEATER,Advanced Movement I,425C,{5879544}
Music,MUSC,Advanced Music Analysis: Pre-Tonal Music,254,{5886498}
Indigenous Languages of the Americas,IL AMER,Advanced Nahuatl,M115B,{1757}
Chicana and Chicano Studies,CHICANO,Advanced Nahuatl,M162C,{5887988}
Film and Television,FILM TV,Advanced Narrative Directing Workshop,402B,"{1828,1004}"
Art,ART,Advanced New Genres: Studio 1  ,137,"{5888078,5091}"
Mathematics,MATH,Advanced Numerical Analysis,269B,{2486}
Mathematics,MATH,Advanced Numerical Analysis,269C,{5885543}
Oral Biology,ORL BIO,Advanced Oral Biology: Pathobiology,201C,{5882514}
French,FRNCH,Advanced Oral Expression,107,{1824}
Art,ART,Advanced Painting,133,"{1943,5888101,3150,5888072}"
Nursing,NURSING,Advanced Pathophysiology II,230B,{1640}
Nursing,NURSING,Advanced Pediatric Diagnostics,441,{5882900}
Iranian,IRANIAN,Advanced Persian: Introduction to Classical Persian Prose,103B,{1892}
Iranian,IRANIAN,Advanced Persian: Introduction to Contemporary Persian Poetry and Prose,103C,{5886829}
Nursing,NURSING,Advanced Pharmacology for Advanced Practice Registered Nurses,224,{3110}
Nursing,NURSING,Advanced Pharmacology I,225A,{562}
Nursing,NURSING,Advanced Pharmacology II,225B,{5883415}
Art,ART,Advanced Photography,147,"{4851,5880665}"
"Earth, Planetary, and Space Sciences",EPS SCI,Advanced Physical Sedimentology,C143,{3208}
"Earth, Planetary, and Space Sciences",EPS SCI,Advanced Physical Sedimentology,C243,{1281}
Geography,GEOG,Advanced Political Geography: Geopolitics,245,{3650}
French,FRNCH,Advanced Practical Translation,108,{250}
Nursing,NURSING,Advanced Practice Registered Nursing: Clinical Nurse Specialist Practicum,445,{2450}
Social Welfare,SOC WLF,Advanced Practicum: Social Work,402B,"{2686,1969,2300,632,1968,802}"
Social Welfare,SOC WLF,Advanced Practicum: Social Work,402C,"{5884457,5884322,5884560,5884528,5884432,5884343,5884378}"
Art,ART,Advanced Printmaking,140,"{705,5881048}"
Ethnomusicology,ETHNMUS,Advanced Private Instruction in Music,162,{3471}
World Arts and Cultures,WL ARTS,Advanced Private Instruction in World Arts and Cultures,178,{1095}
World Arts and Cultures,WL ARTS,Advanced Private Instruction in World Arts and Cultures,478,{1010}
Biostatistics,BIOSTAT,Advanced Probability and Statistics,255B,{752}
Dance,DANCE,Advanced Production,170,{4265}
Program in Computing,COMPTNG,Advanced Programming,10C,"{2680,2795,5885857}"
Theater,THEATER,Advanced Projects in Design and Production,474,"{3189,5879724,3017,5879577,3016,2141,359}"
Geography,GEOG,Advanced Projects in Geographic Information Systems (GIS)/Remote Sensing,214,{3693}
Psychology,PSYCH,Advanced Psychological Statistics,250B,{3715}
Psychology,PSYCH,Advanced Psychological Statistics,250C,{5878672}
Nursing,NURSING,Advanced Qualitative Research: Grounded Theory Methodology II,205C,{3033}
Education,EDUC,Advanced Quantitative Models in Nonexperimental Research: Multilevel Analysis,231D,{5880766}
Japanese,JAPAN,Advanced Reading and Writing for Japanese-Heritage Speakers,105A,{1902}
Chinese,CHIN,Advanced Readings in Modern Chinese,101B,{2024}
Chinese,CHIN,Advanced Readings in Modern Chinese,101C,{5878673}
Korean,KOREA,Advanced Readings in Modern Korean,101B,{1021}
Korean,KOREA,Advanced Readings in Modern Korean,101C,{5887810}
Urban Planning,URBN PL,Advanced Real Estate Studio,272B,{5882138}
Geography,GEOG,Advanced Remote Sensing,174,{5878769}
"Molecular, Cell, and Developmental Biology",MCD BIO,Advanced Research Analysis in Developmental Biology,104BL,{5881106}
"Microbiology, Immunology, and Molecular Genetics",MIMG,Advanced Research Analysis in Microbiology,109BL,{5884965}
"Microbiology, Immunology, and Molecular Genetics",MIMG,Advanced Research Analysis in Virology,103BL,"{2240,2569}"
Community Health Sciences,COM HLT,Advanced Research Topics in Community Health Sciences: Discussion 2  ,296,{5880900}
Community Health Sciences,COM HLT,Advanced Research Topics in Community Health Sciences: Primary Health Care,296,{1761}
Community Health Sciences,COM HLT,Advanced Research Topics in Community Health Sciences: Public Health Critical Race Praxis,296,{3307}
Health Policy and Management,HLT POL,"Advanced Research Topics in Health Policy and Management: Drinking, Shooting, Smoking, and Driving: Understanding Public Health Policy in U.S.",249,{2696}
Health Policy and Management,HLT POL,Advanced Research Topics in Health Policy and Management: Seminar 1  ,249,{5883426}
Health Policy and Management,HLT POL,Advanced Research Topics in Health Policy and Management: Seminar 2  ,249,"{653,5883828}"
Health Policy and Management,HLT POL,Advanced Research Topics in Health Policy and Management: Seminar 3  ,249,{5886205}
Epidemiology,EPIDEM,Advanced SAS Techniques for Management and Analysis of Epidemiologic Data,404,{5885200}
Theater,THEATER,Advanced Scenic Design,443B,{5239}
Theater,THEATER,Advanced Scenic Design,443C,{5884264}
Film and Television,FILM TV,Advanced Screenwriting,434,"{3776,3773,5031,4978,3775}"
Film and Television,FILM TV,Advanced Screenwriting Workshop,135B,{1155}
Film and Television,FILM TV,Advanced Screenwriting Workshop,135C,{5883496}
Art,ART,Advanced Sculpture,145,"{5883802,654}"
Law,LAW,Advanced Seminar: Academic Legal Writing,569B,{5886811}
Biostatistics,BIOSTAT,Advanced Seminar: Biostatistics,245,"{519,5878805}"
Epidemiology,EPIDEM,Advanced Seminar: Epidemiology,292,"{5885185,2206}"
Social Welfare,SOC WLF,Advanced Social Welfare Practice: Domestic and Sexual Violence,251A,{5880233}
Social Welfare,SOC WLF,Advanced Social Welfare Practice: Gerontology,231P,{5887717}
Social Welfare,SOC WLF,Advanced Social Welfare Practice: Institutional Governance and Human Services Management                                ns,241H,{1855}
Social Welfare,SOC WLF,Advanced Social Welfare Practice: School Social Work,231E,{5886747}
Social Welfare,SOC WLF,Advanced Social Work Practice: Child Welfare,231J,{2094}
Social Welfare,SOC WLF,Advanced Social Work Practice: Health,231M,{1883}
Social Welfare,SOC WLF,Advanced Social Work Practice: Mental Health,231K,{2870}
Social Welfare,SOC WLF,Advanced Social Work Practice: Substance Abuse Intervention,231G,{3284}
Physics,PHYSICS,Advanced Solid-State Theory,242B,{2383}
Spanish,SPAN,Advanced Spanish Composition,25,"{5886805,2271,5886823,1611,1547,5886741}"
Spanish,SPAN,Advanced Spanish Composition for Heritage Speakers,27,"{5207,5883132,4553,5260,5205,5883104,5883164}"
Theater,THEATER,Advanced Stage Management Techniques,174D,{5882723}
Ecology and Evolutionary Biology,EE BIOL,Advanced Statistics in Ecology and Evolutionary Biology,C172,{3669}
Ecology and Evolutionary Biology,EE BIOL,Advanced Statistics in Ecology and Evolutionary Biology,C202,{3582}
Civil and Environmental Engineering,C&EE,Advanced Steel Structures,241,{5882671}
Mechanical and Aerospace Engineering,MECH&AE,Advanced Strength of Materials,156A,"{5884933,1831}"
Art History,ART HIS,Advanced Studies in Islamic Art: Seminar 1  ,220B,{5886674}
Theater,THEATER,Advanced Studies in Playwriting,430B,{4876}
Theater,THEATER,Advanced Studies in Playwriting,430C,{5882193}
German,GERMAN,Advanced Study of Modern Literature,173,{3236785}
Biostatistics,BIOSTAT,Advanced Survival Analysis,275,{628}
Public Affairs,PUB AFF,"Advanced Tecnologies, Law, and Public Policy",165,{5888373}
Thai,THAI,Advanced Thai,100B,{2285}
Atmospheric and Oceanic Sciences,A&O SCI,"Advanced Topics in Atmospheric Sciences: Atmospheric Chemistry of Air Pollution, Aerosols, and Climate",296P,{3125}
Atmospheric and Oceanic Sciences,A&O SCI,"Advanced Topics in Atmospheric Sciences: Boundary Layers, Clouds, and Climate",296B,"{1421,5887704}"
Atmospheric and Oceanic Sciences,A&O SCI,Advanced Topics in Atmospheric Sciences: Experimental Mesoscale Meteorology,296J,{4682928}
Atmospheric and Oceanic Sciences,A&O SCI,"Advanced Topics in Atmospheric Sciences: Geophysical Fluid Dynamics, Oceanography, and Climate",296L,{5881701}
Atmospheric and Oceanic Sciences,A&O SCI,Advanced Topics in Atmospheric Sciences: Hierarchical Modeling of Ocean/Atmosphere System,296F,{4468}
Atmospheric and Oceanic Sciences,A&O SCI,Advanced Topics in Atmospheric Sciences: Numerical Modeling of Atmosphere,296A,"{5882969,4444}"
Atmospheric and Oceanic Sciences,A&O SCI,Advanced Topics in Atmospheric Sciences: Recent Advances in Atmospheric Chemistry,296H,{5884395}
Atmospheric and Oceanic Sciences,A&O SCI,Advanced Topics in Atmospheric Sciences: Upper Atmosphere and Space Physics,296G,{914}
Chemistry and Biochemistry,CHEM,Advanced Topics in Biochemistry and Molecular Biology,258,{5884095}
Geography,GEOG,Advanced Topics in Biogeography,281,{5882882}
Dance,DANCE,Advanced Topics in Choreography: Text and Movement,117C,{1268}
Civil and Environmental Engineering,C&EE,Advanced Topics in Civil Engineering,296,"{2250,5884199,5884281,5884403,2023,3179,2690,414,910,5884056,5883720,5884223,406,5883977,1697,1908,5883821,1517,5884338,233,2799,2355,1797310,5883899,1467,5884003,1024,5884117,5884140,5883919,5884074,1516,228,229,3178,5884421,5883801}"
Geography,GEOG,Advanced Topics in Cultural Geography,247,{2829}
Digital Humanities,DGT HUM,Advanced Topics in Digital Humanities: 3D Modeling: Representing Ancient City,150,{2340}
Digital Humanities,DGT HUM,Advanced Topics in Digital Humanities: Seminar 1  ,150,{5878838}
Digital Humanities,DGT HUM,Advanced Topics in Digital Humanities: Seminar 2  ,150,{5884463}
Digital Humanities,DGT HUM,Advanced Topics in Digital Humanities: User Experience Design,150,{2788}
Film and Television,FILM TV,Advanced Topics in Documentary: New Documentary Forms,109,{93}
"Earth, Planetary, and Space Sciences",EPS SCI,Advanced Topics in Earth and Space Sciences,298,{5888044}
Geography,GEOG,Advanced Topics in Economic Geography,248,"{5173,5887977}"
Environment,ENVIRON,Advanced Topics in Environment and Sustainability: Conversational Science: Communicating Environmental Issues with Public,297B,{10580887}
Environment,ENVIRON,Advanced Topics in Environment and Sustainability: Developing Sustainable Blue Economy as Key to Successful Marine Conservation,297B,{669}
Computer Science,COM SCI,Advanced Topics in Internet Research,217B,{5880565}
Bioengineering,BIOENGR,Advanced Topics in Magnetic Resonance Imaging,M229,{5883396}
Physics and Biology in Medicine,PBMED,Advanced Topics in Magnetic Resonance Imaging,M229,{5883608}
Psychology,PSYCH,Advanced Topics in MATLAB Programming for Behavioral Sciences,20B,"{5878656,243}"
Electrical and Computer Engineering,EC ENGR,Advanced Topics in Speech Processing,214B,{5883287}
Law,LAW,Advanced Topics in Trial Advocacy,977,{5879737}
Biostatistics,BIOSTAT,Advanced Topics: Recent Developments,285,"{1298,13341429}"
Architecture and Urban Design,ARCH&UD,Advanced Topics Studio,401,"{2761,2971,1157,195,5883012,5883029,1156,1934,2920,5882989,5882966,3204}"
Turkic Languages,TURKIC,Advanced Turkish,102B,{3935}
Turkic Languages,TURKIC,Advanced Turkish,102C,{5880714}
Polish,POLSH,Advanced Tutorial Instruction in Polish,187C,{4743}
Polish,POLSH,Advanced Tutorial Instruction in Polish,187D,{32}
Serbian/Croatian,SRB CRO,Advanced Tutorial Instruction in Serbian/Croatian,187C,{1197}
Serbian/Croatian,SRB CRO,Advanced Tutorial Instruction in Serbian/Croatian,187D,{5879697}
Law,LAW,Advanced U.S. Contract Law for Foreign Lawyers: Contract Law: Analysis and Application,413,{5882465}
Vietnamese,VIETMSE,Advanced Vietnamese,100B,{1069}
Vietnamese,VIETMSE,Advanced Vietnamese,100C,{5880434}
Music,MUSC,Advanced Vocal Coaching,161B,"{1926,1927,1925,2752}"
Theater,THEATER,Advanced Vocal Dynamics,424G,{4202}
Theater,THEATER,Advanced Vocal Range and Flexibility,424F,{3614}
Music,MUSC,"Advanced Vocal Repertoire, Diction, and Interpretation: German",C158C,{5886476}
Music,MUSC,"Advanced Vocal Repertoire, Diction, and Interpretation: German",C458C,{5886490}
Music,MUSC,"Advanced Vocal Repertoire, Diction, and Interpretation: Russian",C158F,{2321}
Music,MUSC,"Advanced Vocal Repertoire, Diction, and Interpretation: Russian",C458F,{237}
Theater,THEATER,Advanced Voice and Text,424A,{3760}
Music,MUSC,Advanced Voice Studio,161A,"{5887520,2143,5887497,2142,1752,2032}"
Ethnomusicology,ETHNMUS,Advanced World Music Performance Organizations: Music and Dance of Ghana,161E,{4605}
Ethnomusicology,ETHNMUS,Advanced World Music Performance Organizations: Music of African Americans,161P,{4779}
Ethnomusicology,ETHNMUS,Advanced World Music Performance Organizations: Music of Bali,161B,{4946}
Ethnomusicology,ETHNMUS,Advanced World Music Performance Organizations: Music of Java,161H,{4348}
Ethnomusicology,ETHNMUS,Advanced World Music Performance Organizations: Music of Mexico,161K,{932}
Ethnomusicology,ETHNMUS,Advanced World Music Performance Organizations: Music of Near East,161N,{4728}
Ethnomusicology,ETHNMUS,Advanced World Music Performance Organizations: Music of Persia,161L,"{597,2875,2874}"
Ethnomusicology,ETHNMUS,Advanced World Music Performance Organizations: Music of Thailand,161M,"{5013,5878901}"
Ethnomusicology,ETHNMUS,Advanced World Music Performance Organizations: Open Ensemble: Armenian Music Ensemble,161Z,{4621}
Ethnomusicology,ETHNMUS,Advanced World Music Performance Organizations: Open Ensemble: Klezmer Music Ensemble,161Z,{3571}
Ethnomusicology,ETHNMUS,Advanced World Music Performance Organizations: Open Ensemble: Old-Time String Band Ensemble,161Z,{2888}
Ethnomusicology,ETHNMUS,Advanced World Music Specializations: Music of Balkans--Choir,168N,{2126}
Ethnomusicology,ETHNMUS,Advanced World Music Specializations: Music of Balkans--Instrumental Music,168O,{2014}
Ethnomusicology,ETHNMUS,Advanced World Music Specializations: Music of China--Ensemble,168A,{1228}
Ethnomusicology,ETHNMUS,Advanced World Music Specializations: Music of India--Ensemble,168F,"{2566,1849,2623,5886651,5886606}"
Film and Television,FILM TV,Advanced Writing for Short Film and Television Screenplays,435,{4929}
Bioengineering,BIOENGR,Advances in Imaging Informatics,224B,{5886814}
Mechanical and Aerospace Engineering,MECH&AE,Aerodynamics,150B,{5879036}
Atmospheric and Oceanic Sciences,A&O SCI,Aerosol-Climate Interactions,245,{10589567}
Mechanical and Aerospace Engineering,MECH&AE,Aerospace Design Laboratory,157A,{5884914}
Ethnomusicology,ETHNMUS,Aesthetic and Philosophical Foundations in Systematic Musicology,C178,{848}
Ethnomusicology,ETHNMUS,Aesthetic and Philosophical Foundations in Systematic Musicology,C204,{685}
Ethnomusicology,ETHNMUS,Aesthetics of Music,174,{1887}
Chicana and Chicano Studies,CHICANO,Affirmative Action: History and Politics,150,{1744}
African American Studies,AF AMER,African American Literature from Harlem Renaissance to 1960s,M104B,"{5887968,1537}"
English,ENGL,African American Literature from Harlem Renaissance to 1960s,M104B,"{5882303,1834}"
African American Studies,AF AMER,African American Musical Heritage,M12A,{684}
Ethnomusicology,ETHNMUS,African American Musical Heritage,M12A,{3303}
Global Jazz Studies,GJ STDS,African American Musical Heritage,M12A,{532}
African American Studies,AF AMER,African American Musical Heritage,M12B,{5878702}
Ethnomusicology,ETHNMUS,African American Musical Heritage,M12B,{5880894}
Global Jazz Studies,GJ STDS,African American Musical Heritage,M12B,{5883686}
African American Studies,AF AMER,African American Theater History: Slavery to Mid-1800s,M103A,{2079}
Theater,THEATER,African American Theater History: Slavery to Mid-1800s,M103A,{3248}
African Studies,AFRC ST,Africanist Working Group,296,{3341835}
