section_id,enrollment_count,created_at
1393,0,2019-11-02T22:14:29.84287+00:00
178,0,2019-11-02T22:14:29.976505+00:00
1364,0,2019-11-02T22:14:30.008987+00:00
1514,0,2019-11-02T22:14:30.019824+00:00
247,0,2019-11-02T22:14:30.020978+00:00
3222,0,2019-11-02T22:14:30.101091+00:00
2840,0,2019-11-02T22:14:30.177796+00:00
1622,0,2019-11-02T22:14:30.17817+00:00
840,0,2019-11-02T22:14:30.240498+00:00
2579,0,2019-11-02T22:14:30.475517+00:00
1161,0,2019-11-02T22:14:30.476933+00:00
2977,0,2019-11-02T22:14:30.477585+00:00
1578,0,2019-11-02T22:14:30.478453+00:00
596,0,2019-11-02T22:14:30.478685+00:00
3013,0,2019-11-02T22:14:30.478856+00:00
1809,0,2019-11-02T22:14:30.613255+00:00
857,0,2019-11-02T22:14:30.614432+00:00
3360,0,2019-11-02T22:14:30.630853+00:00
1599,0,2019-11-02T22:14:30.632883+00:00
3838,0,2019-11-02T22:14:30.633718+00:00
2302,0,2019-11-02T22:14:30.634542+00:00
7,0,2019-11-02T22:14:30.634869+00:00
2013,0,2019-11-02T22:14:30.635876+00:00
2454,0,2019-11-02T22:14:30.636695+00:00
1132,0,2019-11-02T22:14:30.637513+00:00
2626,0,2019-11-02T22:14:30.638376+00:00
2508,0,2019-11-02T22:14:30.638866+00:00
1304,0,2019-11-02T22:14:30.639704+00:00
4992,0,2019-11-02T22:14:30.640616+00:00
1247,0,2019-11-02T22:14:30.641448+00:00
2416,0,2019-11-02T22:14:30.642266+00:00
1659,0,2019-11-02T22:14:30.677351+00:00
124,0,2019-11-02T22:14:30.67886+00:00
4,0,2019-11-02T22:14:30.67996+00:00
4697,0,2019-11-02T22:14:30.682527+00:00
1645,0,2019-11-02T22:14:30.729461+00:00
988,0,2019-11-02T22:14:30.73069+00:00
2186,0,2019-11-02T22:14:30.730853+00:00
1124,0,2019-11-02T22:14:30.731278+00:00
693,0,2019-11-02T22:14:30.73163+00:00
8,0,2019-11-02T22:14:30.812288+00:00
1845,0,2019-11-02T22:14:30.816025+00:00
1320,0,2019-11-02T22:14:30.817241+00:00
3188,0,2019-11-02T22:14:30.817857+00:00
1123,0,2019-11-02T22:14:30.924201+00:00
3011,0,2019-11-02T22:14:30.924547+00:00
844,0,2019-11-02T22:14:30.925661+00:00
2790,0,2019-11-02T22:14:30.92588+00:00
2024,0,2019-11-02T22:14:30.926102+00:00
1705,0,2019-11-02T22:14:30.927973+00:00
1399,0,2019-11-02T22:14:30.929021+00:00
3271,0,2019-11-02T22:14:30.93086+00:00
1621,0,2019-11-02T22:14:30.982883+00:00
752,0,2019-11-02T22:14:30.984097+00:00
1065,0,2019-11-02T22:14:30.985156+00:00
2105,0,2019-11-02T22:14:30.986851+00:00
2079,0,2019-11-02T22:14:30.988112+00:00
1905,0,2019-11-02T22:14:30.988976+00:00
2190,0,2019-11-02T22:14:30.989843+00:00
3109,0,2019-11-02T22:14:30.990713+00:00
1475,0,2019-11-02T22:14:30.990992+00:00
4155,0,2019-11-02T22:14:30.991861+00:00
1486,0,2019-11-02T22:14:30.992689+00:00
961,0,2019-11-02T22:14:30.993692+00:00
474,0,2019-11-02T22:14:30.994564+00:00
3136,0,2019-11-02T22:14:30.994851+00:00
3027,0,2019-11-02T22:14:30.99612+00:00
439,0,2019-11-02T22:14:30.997422+00:00
2951,0,2019-11-02T22:14:31.002539+00:00
2839,0,2019-11-02T22:14:31.003245+00:00
5315,0,2019-11-02T22:14:31.00454+00:00
3111,0,2019-11-02T22:14:31.005436+00:00
2723,0,2019-11-02T22:14:31.005719+00:00
456,0,2019-11-02T22:14:31.006584+00:00
1623,0,2019-11-02T22:14:31.019762+00:00
849,0,2019-11-02T22:14:31.02077+00:00
1331,0,2019-11-02T22:14:31.021644+00:00
2276,0,2019-11-02T22:14:31.022729+00:00
1695,0,2019-11-02T22:14:31.023054+00:00
5345,0,2019-11-02T22:14:31.023908+00:00
1575,0,2019-11-02T22:14:31.024791+00:00
2082,0,2019-11-02T22:14:31.02506+00:00
1557,0,2019-11-02T22:14:31.02596+00:00
3056,0,2019-11-02T22:14:31.026793+00:00
3330,0,2019-11-02T22:14:31.026845+00:00
451,0,2019-11-02T22:14:31.027648+00:00
1401,0,2019-11-02T22:14:31.028485+00:00
1289,0,2019-11-02T22:14:31.029378+00:00
3276,0,2019-11-02T22:14:31.031249+00:00
1537,0,2019-11-02T22:14:31.036547+00:00
3520,0,2019-11-02T22:14:31.037564+00:00
3061,0,2019-11-02T22:14:31.082258+00:00
1861,0,2019-11-02T22:14:31.082711+00:00
322,0,2019-11-02T22:14:31.091738+00:00
5416,0,2019-11-02T22:14:31.106913+00:00
1576,0,2019-11-02T22:14:31.107207+00:00
1288,0,2019-11-02T22:14:31.107438+00:00
2793,0,2019-11-02T22:14:31.14689+00:00
1736,0,2019-11-02T22:14:31.147272+00:00
1397,0,2019-11-02T22:14:31.210414+00:00
1125,0,2019-11-02T22:14:31.210849+00:00
1844,0,2019-11-02T22:14:31.211077+00:00
3790,0,2019-11-02T22:14:31.211281+00:00
5418,0,2019-11-02T22:14:31.211469+00:00
3899,0,2019-11-02T22:14:31.308403+00:00
452,0,2019-11-02T22:14:31.345915+00:00
3243,0,2019-11-02T22:14:31.34678+00:00
87,0,2019-11-02T22:14:31.346978+00:00
845,0,2019-11-02T22:14:31.347262+00:00
4858,0,2019-11-02T22:14:31.34748+00:00
3731,0,2019-11-02T22:14:31.413759+00:00
4509,0,2019-11-02T22:14:31.460011+00:00
1072,0,2019-11-02T22:14:31.461425+00:00
